+ punten;niet kwetsbaar;;;;;;
slempremie;;;;;;750;1500
manchepremie;;;500;500;500;500;500
premie;50;50;;;;;
extra ptn;;30;60;90;120;150;180
1e;40;40;40;40;40;40;40
ZT;90;120;600;630;660;1440;2220
1 overslag;120;150;630;660;690;1470;
2 overslagen;150;180;660;690;720;;
3overslagen;180;210;690;720;;;
4 oveslagen;210;240;720;;;;
5 overslagen;240;270;;;;;
6 overslagen;270;;;;;;
dubbel;180;690;750;810;870;1680;2490
1 overslag;380;890;950;1010;1070;1880;
2 overslagen;580;1090;1150;1210;1270;;
3 overslagen;780;1290;1350;1410;;;
4 overslagen;980;;;;;;
5 overslagen;;;;;;;
6 overslagen;;;;;;;
redubbel;760;880;1000;1120;1240;2110;2980
1 overslag;1160;1280;1400;1520;1640;2510;
2 overslagen;1560;1680;1800;1920;2040;;
3 overslagen;1960;2080;2200;2320;;;
4 overslagen;2360;;;;;;
5 overslagen;;;;;;;
6 overslagen;;;;;;;
slempremie;;;;;;750;1500
manchepremie;;;;500;500;500;500
premie;50;50;50;;;;
extra ptn;;30;60;90;120;150;180
1e;30;30;30;30;30;30;30
??;80;110;140;620;650;1430;2210
1 overslag;110;140;170;650;680;1460;
2 overslagen;140;170;200;680;710;;
3 overslagen;170;200;230;710;;;
4 overslagen;200;230;260;;;;
5 overslagen ;230;260;;;;;
6 overslagen ;260;;;;;;
dubbel;160;670;730;790;850;1660;2470
1 overslag;360;870;930;990;1050;1860;
2 overslagen;560;1070;1130;1190;1250;;
3 overslagen;760;1270;1330;1390;;;
4 overslagen;960;1470;1530;;;;
5 overslagen;;;;;;;
6 overslagen;;;;;;;
redubbel;720;840;960;1080;1200;2070;2970
1 overslag;1120;1240;1360;1480;1600;2470;
2 overslagen;1520;1640;1760;1880;2000;;
3 overslagen;1920;2040;2160;2280;;;
4 overslagen;2320;2440;2560;;;;
5 overslagen;;;;;;;
6 overslagen;;;;;;;
slempremie;;;;;;750;1500
manchepremie;;;;;500;500;500
premie;50;50;50;50;;;
extra ptn;;20;40;60;80;100;120
1e;20;20;20;20;20;20;20
??;70;90;110;130;600;1370;2140
1 overslag;90;110;130;150;620;1390;
2 overslagen;110;130;150;170;640;;
3 overslagen;130;150;170;190;;;
4 overslagen;150;170;190;;;;
5 overslagen ;170;190;;;;;
6 overslagen ;190;;;;;;
dubbel;140;180;670;710;750;1540;2330
1 overslag;340;380;870;910;950;1740;
2 overslagen;540;580;1070;1110;1150;;
3 overslagen;740;780;1270;1310;;;
4 overslagen;940;980;1470;;;;
;;;;;;;
;;;;;;;
redubbel;230;760;840;920;1000;1830;1660
1 overslag;630;1160;1240;1320;1400;2230;
2 overslagen;1030;1560;1640;1720;1800;;
3 overslagen;1430;1960;2040;2120;;;
4 overslagen;1830;2360;2440;;;;
5 overslagen;;;;;;;
6 overslagen;;;;;;;
